GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CalendarApp,com.iscte.engsoft.grupob.calendarapp.model,EventFrontend,394,47,82,0,11,3,56,12,15,12
CalendarApp,com.iscte.engsoft.grupob.calendarapp.model,DiaDaSemana,0,33,0,0,0,2,0,1,0,1
CalendarApp,com.iscte.engsoft.grupob.calendarapp.model,EventTheRealFrontend,331,0,58,0,9,0,51,0,22,0
CalendarApp,com.iscte.engsoft.grupob.calendarapp.model,EventTheRealFrontend.EventTheRealFrontendBuilder,92,0,4,0,1,0,12,0,10,0
CalendarApp,com.iscte.engsoft.grupob.calendarapp.model,Event,40,0,0,0,1,0,2,0,2,0
CalendarApp,com.iscte.engsoft.grupob.calendarapp.model,CalendarFormat,0,21,0,0,0,4,0,1,0,1
CalendarApp,com.iscte.engsoft.grupob.calendarapp.model,DownloadRequest.DownloadRequestBuilder,27,0,0,0,1,0,5,0,5,0
CalendarApp,com.iscte.engsoft.grupob.calendarapp.model,UploadJsonRequest,108,0,20,0,4,0,17,0,7,0
CalendarApp,com.iscte.engsoft.grupob.calendarapp.model,ConsumeURLCalendarRequest.ConsumeURLCalendarRequestBuilder,6,21,0,0,0,1,1,4,1,4
CalendarApp,com.iscte.engsoft.grupob.calendarapp.model,UploadCalendarFileRequest.UploadCalendarFileRequestBuilder,16,25,2,2,0,1,3,4,1,4
CalendarApp,com.iscte.engsoft.grupob.calendarapp.model,UploadJsonRequest.UploadJsonRequestBuilder,27,0,0,0,1,0,5,0,5,0
CalendarApp,com.iscte.engsoft.grupob.calendarapp.model,DownloadRequest,108,0,20,0,4,0,17,0,7,0
CalendarApp,com.iscte.engsoft.grupob.calendarapp.model,UploadCalendarFileRequest,99,42,22,2,1,8,15,6,3,6
CalendarApp,com.iscte.engsoft.grupob.calendarapp.model,Event.EventBuilder,108,0,0,0,1,0,14,0,14,0
CalendarApp,com.iscte.engsoft.grupob.calendarapp.model,ConsumeURLCalendarRequest,89,19,20,0,1,3,13,4,3,4
CalendarApp,com.iscte.engsoft.grupob.calendarapp.controller,CalendarController,93,76,6,5,21,20,10,6,4,5
CalendarApp,com.iscte.engsoft.grupob.calendarapp.util,DateConverter,19,0,0,0,4,0,4,0,4,0
CalendarApp,com.iscte.engsoft.grupob.calendarapp.util,UrlProcessorWebcal,55,0,2,0,13,0,3,0,2,0
CalendarApp,com.iscte.engsoft.grupob.calendarapp.util,JSONConverter,12,98,1,9,4,23,1,7,0,3
CalendarApp,com.iscte.engsoft.grupob.calendarapp.util,CustomEventFrontendDeserializer,0,147,2,2,0,43,2,3,0,3
CalendarApp,com.iscte.engsoft.grupob.calendarapp.util,UrlProcessorCsv,14,0,0,0,4,0,2,0,2,0
CalendarApp,com.iscte.engsoft.grupob.calendarapp.util,CSVHandler,174,224,38,32,48,60,29,15,2,6
CalendarApp,com.iscte.engsoft.grupob.calendarapp.util,UrlProcessorJson.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
CalendarApp,com.iscte.engsoft.grupob.calendarapp.util,UrlProcessor,0,3,0,0,0,1,0,1,0,1
CalendarApp,com.iscte.engsoft.grupob.calendarapp.util,CSVConverter,5,54,1,3,3,18,1,3,0,2
CalendarApp,com.iscte.engsoft.grupob.calendarapp.util,VEvent2EventConverter,148,0,4,0,41,0,9,0,7,0
CalendarApp,com.iscte.engsoft.grupob.calendarapp.util,UrlReader,6,41,0,2,3,8,0,4,0,3
CalendarApp,com.iscte.engsoft.grupob.calendarapp.util,UrlProcessorJson,0,51,0,0,0,8,0,2,0,2
CalendarApp,com.iscte.engsoft.grupob.calendarapp.mapper,EventTheRealFrontendMapper,53,0,2,0,12,0,5,0,4,0
CalendarApp,com.iscte.engsoft.grupob.calendarapp,CalendarApplication,0,8,0,0,0,3,0,2,0,2
